Project.Name,Address,Transacted Price,Price (psf),Date,Property.Type,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,ENBLOC,Avg area sqf,Dist_Sch_Label
EAST COAST HILL,67 SENNETT AVENUE,3250000,1679,17/7/2019,Terrace House,2011,Resale,16,2019,1,Freehold,1,TEMASEK PRIMARY SCHOOL,0.983714299,BAYSHORE MRT STATION,0.877842804,0,1935.37,1
BURGUNDY HILL,2 BURGUNDY RISE,2600000,577,17/7/2019,Semi-Detached House,1999,Resale,23,2019,1,99-yr,1,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.712262934,BUKIT BATOK MRT STATION,1.706509767,0,4504.73,2
VICTORY VILLE,25 TOH DRIVE,2699000,718,17/7/2019,Semi-Detached House,2014,Resale,17,2019,1,Freehold,1,PASIR RIS PRIMARY SCHOOL,1.524072055,CHANGI AIRPORT MRT STATION,1.816090407,0,3756.64,2
N.A.,4 GLADIOLA DRIVE,3668000,975,17/7/2019,Detached House,2021,Resale,20,2019,1,Freehold,188,AI TONG SCHOOL,0.792820703,UPPER THOMSON MRT STATION,0.405134797,0,3763.09,1
N.A.,69A LORONG GAMBIR,3000000,980,17/7/2019,Semi-Detached House,2021,Resale,19,2019,1,Freehold,188,MARIS STELLA HIGH SCHOOL,0.511464166,SERANGOON MRT STATION,0.47031764,0,3061.28,1
HORIZON GARDENS,611 ANG MO KIO AVENUE 2,1880000,619,18/7/2019,Terrace House,2002,Resale,20,2019,1,99-yr,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.527742733,MAYFLOWER MRT STATION,0.720030027,0,3035.45,1
RIA TOWNHOUSES,117 BEDOK RIA CRESCENT,2220000,753,18/7/2019,Terrace House,2007,Resale,16,2019,1,Freehold,1,TEMASEK PRIMARY SCHOOL,1.348380927,SUNGEI BEDOK MRT STATION,0.623983055,0,2949.34,2
PAVILION PARK,28 PAVILION STREET,3058000,1420,18/7/2019,Semi-Detached House,2014,Resale,23,2019,1,Freehold,1,SAINT ANTHONY'S PRIMARY SCHOOL,0.916785236,BUKIT PANJANG MRT STATION,1.260060529,0,2152.8,1
N.A.,43 KIM YAM ROAD,2625000,2431,18/7/2019,Terrace House,2021,Resale,9,2019,1,99-yr,188,ANGLO-CHINESE SCHOOL (JUNIOR),1.783815538,FORT CANNING MRT STATION,0.516900229,0,1079.63,2
N.A.,43 KIM YAM ROAD,2600000,2408,26/3/2021,Terrace House,2021,Resale,9,2021,1,99-yr,188,ANGLO-CHINESE SCHOOL (JUNIOR),1.783815538,FORT CANNING MRT STATION,0.516900229,0,1079.63,2
D'MANOR,253 TANAH MERAH KECHIL AVENUE,1738000,638,18/7/2019,Terrace House,2000,Resale,16,2019,1,99-yr,1,TEMASEK PRIMARY SCHOOL,1.348237781,TANAH MERAH MRT STATION,0.297796437,0,2723.29,2
